Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
CEG,Constellation Energy Corporation,2023-11-06,2023-09-30,1.37,USD
CF,CF Industries Holdings Inc,2023-11-01,2023-09-30,0.99,USD
CFG,Citizens Financial Group Inc,2023-10-18,2023-09-30,0.91,USD
CHD,Church & Dwight Co. Inc,2023-11-03,2023-09-30,0.68,USD
CHRW,C.H. Robinson Worldwide Inc,2023-11-01,2023-09-30,0.84,USD
CHTR,Charter Communications Inc - Class A,2023-10-27,2023-09-30,8.05,USD
CI,Cigna Group (The),2023-11-02,2023-09-30,6.67,USD
CINF,Cincinnati Financial Corp,2023-10-26,2023-09-30,1.1,USD
CL,Colgate-Palmolive Company,2023-10-27,2023-09-30,0.8,USD
CLX,Clorox Company,2023-10-30,2023-09-30,1.25,USD
CMA,Comerica Inc,2023-10-20,2023-09-30,1.69,USD
CMCSA,Comcast Corp - Class A,2023-10-26,2023-09-30,0.95,USD
CME,CME Group Inc - Class A,2023-10-25,2023-09-30,2.2,USD
CMG,Chipotle Mexican Grill,2023-10-26,2023-09-30,10.55,USD
CMI,Cummins Inc,2023-11-01,2023-09-30,4.72,USD
CMS,CMS Energy Corporation,2023-10-26,2023-09-30,0.75,USD
CNC,Centene Corp,2023-10-24,2023-09-30,1.5,USD
CNP,Centerpoint Energy Inc,2023-10-26,2023-09-30,0.36,USD
COF,Capital One Financial Corp,2023-10-26,2023-09-30,3.31,USD
COO,Cooper Companies Inc,2023-12-07,2023-10-31,3.48,USD
COP,Conoco Phillips,2023-11-02,2023-09-30,2.14,USD
COR,Cencora Inc,2023-11-02,2023-09-30,2.79,USD
COST,Costco Wholesale Corp,2023-12-14,2023-11-30,3.4,USD
CPB,Campbell Soup Company,2023-12-05,2023-10-31,0.88,USD
CPRT,Copart Inc,2023-11-14,2023-10-31,0.32,USD
CPT,Camden Property Trust,2023-10-26,2023-09-30,0.43,USD
CRL,Charles River Laboratories International Inc,2023-10-31,2023-09-30,2.37,USD
CRM,Salesforce Inc,2023-11-28,2023-10-31,2.06,USD
CSCO,Cisco Systems Inc,2023-11-14,2023-10-31,0.9923,USD
CSGP,Costar Group Inc,2023-10-24,2023-09-30,0.3,USD
CSX,CSX Corp,2023-10-19,2023-09-30,0.43,USD
CTAS,Cintas Corporation,2023-12-19,2023-11-30,3.49,USD
CTLT,Catalent Inc,2023-10-30,2023-09-30,-0.13,USD
CTRA,Coterra Energy Inc,2023-11-06,2023-09-30,0.43,USD
CTSH,Cognizant Technology Solutions Corp - Class A,2023-10-31,2023-09-30,1.09,USD
CTVA,Corteva Inc,2023-11-08,2023-09-30,-0.22,USD
CVS,CVS Health Corp,2023-11-01,2023-09-30,2.14,USD
CVX,Chevron Corp,2023-10-27,2023-09-30,3.38,USD
CZR,Caesars Entertainment Inc,2023-10-31,2023-09-30,0.29,USD
D,Dominion Energy Inc,2023-11-03,2023-09-30,0.82,USD
DAL,Delta Air Lines Inc,2023-10-12,2023-09-30,1.94,USD
DD,DuPont de Nemours Inc,2023-11-06,2023-09-30,0.9498,USD
DE,Deere & Company,2023-11-22,2023-10-31,7.51,USD
DFS,Discover Financial Services,2023-10-18,2023-09-30,3.19,USD
DG,Dollar General Corp,2023-11-29,2023-10-31,1.29,USD
DGX,Quest Diagnostics Inc,2023-10-24,2023-09-30,2.19,USD
DHI,D.R. Horton Inc,2023-11-07,2023-09-30,3.92,USD
DHR,Danaher Corp,2023-10-24,2023-09-30,1.87,USD
DIS,Walt Disney Co (The),2023-11-08,2023-09-30,0.75,USD
DLR,Digital Realty Trust Inc,2023-10-26,2023-09-30,0.25,USD
DLTR,Dollar Tree Inc,2023-11-20,2023-10-31,1.01,USD
DOV,Dover Corp,2023-10-24,2023-09-30,2.33,USD
DOW,Dow Inc,2023-10-24,2023-09-30,0.44,USD
DPZ,Dominos Pizza Inc,2023-10-12,2023-09-30,3.29,USD
DRI,Darden Restaurants Inc,2023-12-14,2023-11-30,1.73,USD
DTE,DTE Energy Company,2023-10-25,2023-09-30,2.09,USD
DUK,Duke Energy Corp,2023-11-02,2023-09-30,2.01,USD
DVA,DaVita Inc,2023-10-26,2023-09-30,2.02,USD
DVN,Devon Energy Corp,2023-11-07,2023-09-30,1.47,USD
DXCM,Dexcom Inc,2023-10-26,2023-09-30,0.34,USD
EA,Electronic Arts Inc,2023-11-01,2023-09-30,1.25,USD
EBAY,EBay Inc,2023-10-31,2023-09-30,1,USD
ECL,Ecolab Inc,2023-10-31,2023-09-30,1.52,USD
