Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
RCL,Royal Caribbean Group,2023-11-01,2023-09-30,3.48,USD
REG,Regency Centers Corporation,2023-11-02,2023-09-30,0.47,USD
REGN,Regeneron Pharmaceuticals Inc,2023-11-02,2023-09-30,10.95,USD
RF,Regions Financial Corp,2023-10-20,2023-09-30,0.58,USD
RHI,Robert Half Inc,2023-10-18,2023-09-30,0.8,USD
RJF,Raymond James Financial Inc,2023-10-24,2023-09-30,2.31,USD
RL,Ralph Lauren Corp - Class A,2023-11-08,2023-09-30,1.92,USD
RMD,Resmed Inc,2023-10-26,2023-09-30,1.66,USD
ROK,Rockwell Automation Inc,2023-10-31,2023-09-30,3.46,USD
ROL,Rollins Inc,2023-10-24,2023-09-30,0.25,USD
ROP,Roper Technologies Inc,2023-10-25,2023-09-30,4.21,USD
ROST,Ross Stores Inc,2023-11-15,2023-10-31,1.21,USD
RSG,Republic Services Inc,2023-10-26,2023-09-30,1.42,USD
RTX,RTX Corp,2023-10-24,2023-09-30,1.15,USD
RVTY,Revvity Inc,2023-11-06,2023-09-30,1.2,USD
SBAC,SBA Communications Corp - Class A,2023-10-30,2023-09-30,1.2,USD
SBUX,Starbucks Corp,2023-11-02,2023-09-30,0.97,USD
SCHW,Charles Schwab Corp,2023-10-16,2023-09-30,0.76,USD
SEDG,Solaredge Technologies Inc,2023-11-06,2023-09-30,1.78,USD
SEE,Sealed Air Corp,2023-11-02,2023-09-30,0.64,USD
SHW,Sherwin-Williams Company,2023-10-24,2023-09-30,2.75,USD
SJM,J.M. Smucker Company,2023-11-20,2023-10-31,2.47,USD
SLB,SLB,2023-10-20,2023-09-30,0.77,USD
SNA,Snap-on Inc,2023-10-19,2023-09-30,4.45,USD
SNPS,Synopsys Inc,2023-11-28,2023-10-31,3.04,USD
SO,Southern Company,2023-11-02,2023-09-30,1.32,USD
SPG,Simon Property Group Inc,2023-10-30,2023-09-30,1.55,USD
SPGI,S&P Global Inc,2023-11-02,2023-09-30,3.05,USD
SRE,Sempra,2023-11-01,2023-09-30,0.99,USD
STE,Steris Plc,2023-11-07,2023-09-30,2.01,USD
STLD,Steel Dynamics Inc,2023-10-18,2023-09-30,3.47,USD
STT,State Street Corp,2023-10-18,2023-09-30,1.76,USD
STX,Seagate Technology Holdings Plc,2023-10-26,2023-09-30,-0.19,USD
STZ,Constellation Brands Inc - Class A,2024-01-03,2023-11-30,3.1,USD
SWK,Stanley Black & Decker Inc,2023-10-27,2023-09-30,0.82,USD
SWKS,Skyworks Solutions Inc,2023-11-01,2023-09-30,2.1,USD
SYF,Synchrony Financial,2023-10-24,2023-09-30,1.48,USD
SYK,Stryker Corp,2023-11-02,2023-09-30,2.44,USD
SYY,Sysco Corp,2023-10-30,2023-09-30,1.04,USD
T,AT&T Inc,2023-10-19,2023-09-30,0.62,USD
TAP,Molson Coors Beverage Company - Class B,2023-10-30,2023-09-30,1.53,USD
TDG,Transdigm Group Incorporated,2023-11-08,2023-09-30,7.51,USD
TDY,Teledyne Technologies Inc,2023-10-24,2023-09-30,4.76,USD
TECH,Bio-Techne Corp,2023-10-30,2023-09-30,0.44,USD
TEL,TE Connectivity Ltd,2023-11-01,2023-09-30,1.76,USD
TER,Teradyne Inc,2023-10-23,2023-09-30,0.73,USD
TFC,Truist Financial Corporation,2023-10-19,2023-09-30,0.81,USD
TFX,Teleflex Incorporated,2023-10-25,2023-09-30,3.27,USD
TGT,Target Corp,2023-11-15,2023-10-31,1.48,USD
TJX,TJX Companies Inc,2023-11-14,2023-10-31,0.98,USD
TMO,Thermo Fisher Scientific Inc,2023-10-25,2023-09-30,5.67,USD
TMUS,T-Mobile US Inc,2023-10-25,2023-09-30,1.81,USD
TPR,Tapestry Inc,2023-11-09,2023-09-30,0.9,USD
TRGP,Targa Resources Corp,2023-11-01,2023-09-30,1.27,USD
TRMB,Trimble Inc,2023-10-31,2023-09-30,0.61,USD
TROW,T. Rowe Price Group Inc,2023-10-27,2023-09-30,1.83,USD
TRV,Travelers Companies Inc,2023-10-18,2023-09-30,3.04,USD
TSCO,Tractor Supply Company,2023-10-26,2023-09-30,2.32,USD
TSLA,Tesla Inc,2023-10-18,2023-09-30,0.75,USD
TSN,Tyson Foods Inc - Class A,2023-11-13,2023-09-30,0.28,USD
TT,Trane Technologies plc - Class A,2023-11-01,2023-09-30,2.65,USD
TTWO,Take-Two Interactive Software Inc,2023-11-06,2023-09-30,1.03,USD
TXN,Texas Instruments Inc,2023-10-24,2023-09-30,1.81,USD
TXT,Textron Inc,2023-10-26,2023-09-30,1.22,USD
TYL,Tyler Technologies Inc,2023-10-24,2023-09-30,1.99,USD
UAL,United Airlines Holdings Inc,2023-10-17,2023-09-30,3.38,USD
UDR,UDR Inc,2023-10-26,2023-09-30,0.12,USD
UHS,Universal Health Services Inc - Class B,2023-10-25,2023-09-30,2.41,USD
ULTA,Ulta Beauty Inc,2023-11-30,2023-10-31,5.01,USD
UNH,Unitedhealth Group Inc,2023-10-13,2023-09-30,6.31,USD
UNP,Union Pacific Corp,2023-10-19,2023-09-30,2.54,USD
UPS,United Parcel Service Inc - Class B,2023-10-26,2023-09-30,1.63,USD
URI,United Rentals Inc,2023-10-24,2023-09-30,11.18,USD
USB,U.S. Bancorp.,2023-10-18,2023-09-30,1.03,USD
V,Visa Inc - Class A,2023-10-23,2023-09-30,2.25,USD
VFC,VF Corp,2023-10-24,2023-09-30,0.66,USD
VICI,VICI Properties Inc,2023-10-25,2023-09-30,0.63,USD
VLO,Valero Energy Corp,2023-10-26,2023-09-30,7.36,USD
VMC,Vulcan Materials Company,2023-10-26,2023-09-30,2.27,USD
VRSK,Verisk Analytics Inc,2023-11-01,2023-09-30,1.47,USD
VRSN,Verisign Inc,2023-10-26,2023-09-30,1.81,USD
VRTX,Vertex Pharmaceuticals Inc,2023-10-25,2023-09-30,3.97,USD
VTR,Ventas Inc,2023-11-01,2023-09-30,-0.01,USD
VTRS,Viatris Inc,2023-11-06,2023-09-30,0.74,USD
VZ,Verizon Communications Inc,2023-10-24,2023-09-30,1.18,USD
WAB,Westinghouse Air Brake Technologies Corp,2023-10-25,2023-09-30,1.46,USD
WAT,Waters Corp,2023-10-30,2023-09-30,2.56,USD
WBA,Walgreens Boots Alliance Inc,2023-10-12,2023-08-31,0.69,USD
WBA,Walgreens Boots Alliance Inc,2024-01-03,2023-11-30,0.9491,USD
WBD,Warner Bros. Discovery Inc - Class A,2023-11-08,2023-09-30,-0.04,USD
WDC,Western Digital Corp,2023-10-25,2023-09-30,-1.91,USD
WEC,WEC Energy Group Inc,2023-10-30,2023-09-30,0.96,USD
WELL,Welltower Inc,2023-11-01,2023-09-30,0.1779,USD
WFC,Wells Fargo & Company,2023-10-13,2023-09-30,1.22,USD
WHR,Whirlpool Corp,2023-10-23,2023-09-30,4.18,USD
WM,Waste Management Inc,2023-10-24,2023-09-30,1.61,USD
WMB,Williams Cos Inc,2023-10-30,2023-09-30,0.41,USD
WMT,Walmart Inc,2023-11-16,2023-10-31,1.5,USD
WRB,W.R. Berkley Corp,2023-10-23,2023-09-30,1.17,USD
WRK,WestRock Company,2023-11-08,2023-09-30,0.74,USD
WST,West Pharmaceutical Services Inc,2023-10-25,2023-09-30,1.86,USD
WTW,Willis Towers Watson Public Ltd Company,2023-10-26,2023-09-30,2.05,USD
WY,Weyerhaeuser Company,2023-10-26,2023-09-30,0.34,USD
WYNN,Wynn Resorts Ltd,2023-11-07,2023-09-30,0.78,USD
XEL,Xcel Energy Inc,2023-10-27,2023-09-30,1.31,USD
XOM,Exxon Mobil Corp,2023-10-27,2023-09-30,2.3,USD
XRAY,DENTSPLY Sirona Inc,2023-11-13,2023-09-30,0.48,USD
XYL,Xylem Inc,2023-10-31,2023-09-30,0.89,USD
YUM,Yum Brands Inc,2023-11-01,2023-09-30,1.27,USD
ZBH,Zimmer Biomet Holdings Inc,2023-10-31,2023-09-30,1.6,USD
ZBRA,Zebra Technologies Corp - Class A,2023-10-31,2023-09-30,0.81,USD
ZION,Zions Bancorporation N.A,2023-10-18,2023-09-30,1.14,USD
ZTS,Zoetis Inc - Class A,2023-11-02,2023-09-30,1.37,USD
