Date,Open,High,Low,Close,Adj Close**,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2023-09-05,34843.22,34871.26,34635.63,34641.97,34641.97,283540000.0,-1123053245.7868524,451400000.0,,4649052093.217951,25082.536767299705,6139.989395549192,1121197.504947116,34549.852885533175,58.63320403022688,1019.679916125407,,,,,,0.0,0.0,34636.14933333333,34883.630333333334,34388.668333333335,1.4290329887325415,0.5117598253333923,0.0,0.0,,,,,,320.2600647900006,0.684490999864418,,,,34596.331666666665,,34510.2675039204,,0.9814672608694703,0.642620705648644,0.3388465552208263,,,,132.8142586516016,132.8142586516016,0.0,34634.765,,,34379.32,,0.0,0.0,0.0,,30200.624468344155,30255.179888623712,,,,,34938.479232000005,0.0,0.0,63.47849177453301,,,,,,67.40174439474946,,-32.59825560525054,,1.6775548995286906,,,,,,,34631.79736460966,0.5771242442990765,0.5754652621972056,1.8675338637358152
2023-09-01,34876.24,34979.18,34720.7,34837.71,34837.71,286370000.0,-1150152480.5438921,737770000.0,,11992625194.186733,8709.720850647778,5914.871507794854,3254474.9688079464,34600.056573805254,58.854439752642925,1019.679916125407,,,,,,0.0,0.0,34657.57866666666,34912.93666666666,34402.22066666667,1.473605542129794,0.8527035247247728,0.0,0.0,,,,,,321.95505831100047,0.6857165001754542,,,,34629.40083333333,,34560.643272548026,,0.9478754577975083,0.6421571652625058,0.3057182925350025,,,,130.0686741880707,131.44146641983616,-1.3727922317654588,34635.369999999995,,,34379.925,,0.0,32.43754105166794,11.900739191163058,,30200.624468344155,30255.179888623712,,,,34291.56,,1.0,0.0,69.12528834971833,,,,,,84.6305108315406,69.12225261906995,-15.36948916845939,,1.1522063315455406,,,,,,,34637.14507851007,0.5650371500234952,0.56344680300775,2.4431232738787
2023-08-31,34909.09,35070.21,34719.77,34721.91,34721.91,341900000.0,-1487876781.4227743,395870000.0,,4623390166.445986,4617.526177244764,5097.492132197751,481626.6650296126,34649.62332381704,51.40223673322544,1019.679916125407,,,,,,0.0,0.0,34671.556666666664,34928.98166666667,34414.13166666667,1.4849347692974422,0.5978019487876787,0.0,0.0,,,,,,324.80355247990065,0.7002236356953795,,,,34646.41583333333,,34585.45353830987,,0.9433735121712336,0.6859729326812103,0.25740057949002326,,,,127.08270111554671,129.98854465173966,-2.905843536192947,34680.884999999995,,,34425.44,,0.0,31.945784152488947,10.99504278384577,,30200.624468344155,30255.179888623712,,,,34305.312399999995,,0.0,0.0,62.92657970299688,,,,,,55.26873434791049,69.10032985806686,-44.73126565208951,,0.5915220960358641,,,,,,,34638.13161989708,-0.33239842687706744,-0.3329520977173317,2.1026039436725874
2023-08-30,34847.8,35025.57,34811.74,34890.24,34890.24,236070000.0,-1550617547.9195254,631940000.0,,9639714871.23923,2143.5535858009184,2011.0747479306478,7984.766726514557,34669.81557985502,50.826153390615595,1024.623270920157,,,,,,0.0,0.0,34676.72233333333,34926.48333333333,34426.96133333333,1.440511001006075,0.9274439697684342,0.0,0.0,,,,,,322.6891972319102,0.7003427518434572,,,,34668.5775,,34632.34376318527,,0.9357345183337268,0.7989869853127072,0.1367475330210196,,,,123.74624378913256,128.4279694360879,-4.681725646955329,34680.884999999995,,,34425.44,,0.0,29.827500254766466,10.265975625167941,,30200.624468344155,30255.179888623712,,,,34335.908304,,0.0,0.0,67.49026183213391,,,,,,76.88691966865719,72.26205494936943,-23.113080331342815,,0.7680732895682946,,,,,,,34639.44647305943,0.4847947592744539,0.48362341370378203,2.597592016674266
2023-08-29,34531.12,34864.42,34531.12,34852.67,34852.67,262550000.0,-1306579174.0821419,369390000.0,,6853469389.633636,-28040.742906112548,1095.8743256335872,861739.7217148894,34686.86578380987,51.03288366830754,1024.623270920157,,,,,,0.0,0.0,34689.90966666667,34947.28466666667,34432.53466666667,1.4838608833121876,0.8161929739355644,0.0,0.0,,,,,,326.33227750871873,0.7015819926536206,,,,34688.113333333335,,34666.240107310616,,0.8941353781559485,0.7923300574061372,0.1018053207498113,,,,120.51260947259705,126.84489744338973,-6.332287970792677,34680.884999999995,,,34425.44,,0.0,27.50468842272037,15.551733223402845,,30200.624468344155,30255.179888623712,,,,34365.280371839995,,0.0,0.0,65.55073994071526,,,,,,72.06190200988885,68.07251867548551,-27.93809799011115,,0.6771863618716616,,,,,,,34650.46616160554,-0.10768054332672694,-0.10773856047627817,2.4871143721505895
2023-08-28,34441.64,34652.91,34441.64,34559.98,34559.98,224640000.0,-1279561128.9266505,144750000.0,-0.21061105213697878,-3518437894.599579,-14153.792134081374,-832.4049587471898,-2169224.4378245985,34683.146335917365,45.65142180590523,1016.0185647336406,34552.9815,35079.220406401844,34026.74259359816,3.0459826246938637,0.5066495463513462,0.0,0.0,34676.422333333336,34925.71833333333,34427.12633333333,1.4378415258852018,0.2664576781550254,0.0,0.0,33780.67,35070.21,34425.44,3.7320657842507767,0.6043317772228891,334.8020497578467,0.7502357486316776,,,,34659.18583333334,,34649.8923984936,,0.7890954486392084,0.8387111795044653,-0.049615730865256835,,,22.548499999997148,116.20577817673521,125.0717108989473,-8.865932722212094,34680.884999999995,,,34425.44,,0.0,25.0957992724394,16.096309249846765,-6.4489825244770325,30200.624468344155,30255.179888623712,,,,34393.4775569664,,0.0,0.0,52.81646372299482,,,,,,34.472484428177616,61.14043536890788,-65.52751557182238,,-0.9944392417475906,,,,,,,34649.44863559215,-0.839792188087729,-0.8433383100099334,1.6264355918567341
2023-08-25,34217.06,34441.91,34029.22,34346.9,34346.9,257440000.0,-1140657436.5667696,-112690000.0,-0.22109980113245525,-10852277509.656845,-49968.769383157385,-4814.10659380321,-3473758.7935712235,34655.28775682822,35.07328289768935,1016.0185647336406,34569.9825,35043.92321135006,34096.041788649934,2.741920458594758,0.26465146941636886,0.0,0.0,34636.129,34906.101,34366.15699999999,1.5589039987696385,-0.035664809683948966,0.0,1.0,33947.24,35070.21,34508.725,3.248396206159495,0.35589552703990585,354.39784478206224,0.8641766740487913,,,,34640.13333333333,,34603.278183340735,,0.6797690438031403,0.9028880138403921,-0.22311897003725178,,,76.00749999999971,108.69029101728367,122.73150805870965,-14.04121704142598,34549.715,,,34425.44,,0.0,22.37116600927474,22.784977066407645,-118.8651560949157,30200.624468344155,30255.179888623712,,,,,35070.21,0.0,1.0,45.83546168897126,,,,,,30.517103910700477,45.68383011625565,-69.48289608929952,,-0.6612479982230132,,,,,,,34637.73488221078,-0.6165512827264408,-0.6184598088864846,0.9998564996259729
2023-08-24,34439.83,34694.68,34093.65,34099.42,34099.42,342520000.0,-1476600924.9117808,-455210000.0,-0.2362500686549623,-21411502093.991737,27830.012262057386,-3476.0553074114277,-4055211.784775112,34610.54765841881,35.57701615844361,1016.0185647336406,34576.7615,35018.62125799003,34134.90174200997,2.5558192197382663,-0.04015045652875702,0.0,1.0,34609.787000000004,34924.434,34295.14,1.818254472354891,-0.31101520116193804,0.0,1.0,34029.22,35070.21,34549.715,3.0106636794194794,0.06743580629976967,379.0610603038559,1.055349155950419,,,,34594.58583333334,,34525.76153974985,,0.6991003907393801,0.8858960249588596,-0.18679563421947942,,,86.95850000000064,100.75262801099491,119.9841480527453,-19.231520041750386,34549.715,,,34425.44,,0.0,24.67273708429067,20.120952604333358,-125.99331029077253,30200.624468344155,30255.179888623712,,,,,35049.3902,0.0,0.0,39.33287386514808,,,,,,6.743580629976967,23.911056322951683,-93.25641937002304,,-1.5775851693081933,,,,,,,34605.74492806947,-0.7205308193752646,-0.7231391795953002,0.272121406021375
2023-08-23,34338.59,34534.72,34321.0,34472.98,34472.98,360610000.0,-1324338869.886506,-94600000.0,-0.1610533322628203,891494148.0073357,1996.976068328659,-2126.135015810869,1482529.417684588,34595.64774078664,43.596260036275005,1016.0185647336406,34596.889500000005,34977.0174747914,34216.76152520861,2.1974690805160044,0.33701607324743676,0.0,0.0,34606.98466666666,34922.03566666667,34291.933666666664,1.8207364960256662,0.28732861240455887,0.0,0.0,34029.22,35070.21,34549.715,3.0089121162178403,0.4262865157206149,384.6849542734706,1.0730663395190403,,,,34578.690833333334,,34517.64130286526,,0.7661899408651645,0.8602205483048105,-0.09403060743964609,,,-20.299500000008265,93.48420808272512,117.03971027829863,-23.55550219557351,34549.715,,,34425.44,,0.0,22.610768098089597,18.43938885641123,-78.23075946514224,30200.624468344155,30255.179888623712,,,,,35028.986796000005,0.0,0.0,50.70182502779354,,,,,,42.62865157206149,26.62977870424631,-57.37134842793851,,-0.5502583104179181,,,,,,,34605.031439860846,1.0955025041481825,1.0895453432084423,1.370605006986847
2023-08-22,34494.17,34514.04,34256.84,34288.83,34288.83,279200000.0,-1534086241.5816748,-373800000.0,-0.1499678186066441,-6580816444.565198,-3907.7449856735934,-2850.7425127254273,2459042.9151963126,34572.40763252759,36.347648380238006,1010.591130879773,34589.287,34987.25486740138,34191.31913259861,2.3011047750211495,0.12251098064538196,0.0,0.0,34597.42733333333,34906.18633333334,34288.66833333333,1.7848668169758835,0.00026180073564516953,0.0,0.0,34029.22,35070.21,34549.715,3.009573455503717,0.2493876021863813,371.936458846124,1.1505353368049653,,,,34554.71083333334,,34482.439563962915,,0.7413867212330744,0.880664241044675,-0.13927751981160064,,,-88.55699999999342,86.12504061784564,111.85201938565906,-25.72697876781342,34549.715,,,34425.44,,0.0,21.469085643400152,18.767904462132996,-106.6774622034254,30200.624468344155,30255.179888623712,,,,,35008.991460080004,0.0,0.0,46.11410600119424,,,,,,24.938760218638134,24.7703308068922,-75.06123978136186,,-0.8322393850868313,,,,,,,34601.17983014547,-0.5341864846033051,-0.5356183621454846,0.8290969356789191
2023-08-21,34531.28,34570.96,34248.46,34463.69,34463.69,396490000.0,-1401357372.1243026,22690000.0,-0.14601888563222365,4263620390.37272,1974.0914020530508,-2583.5533859681113,530499.6312694799,34551.87820367502,44.746251493719235,1010.591130879773,34586.585,34987.18462643518,34185.98537356482,2.3165029240971777,0.34661118996340007,0.0,0.0,34568.569,34886.015,34251.123,1.8366163783059684,0.33480812484643496,0.0,0.0,34029.22,35070.21,34549.715,3.0098085717338035,0.4173623185621399,366.9928129615116,1.1814249171251558,,,,34551.62416666667,,34479.555015660924,,0.7421214511041054,0.8587598580441664,-0.116638406940061,,,-143.3949999999968,78.63415112153879,106.13707237826662,-27.50292125672783,34549.715,,,34425.44,,0.0,21.225286919271625,17.56994053502485,-72.8543523008011,30200.624468344155,30255.179888623712,32.0,8.0,24.0,,34989.3960308784,0.0,0.0,50.67782478678927,,,,,,41.73623185621399,36.43454788230454,-58.26376814378601,,-0.10736004716422196,,,,,,,34599.26203015864,0.5099619905374553,0.5086660882506422,1.343287005453031
2023-08-18,34368.36,34587.07,34263.19,34500.66,34500.66,320680000.0,-1251789875.520616,343370000.0,-0.11618995976039574,5348180277.462385,1557.387301983464,-1981.8485289248526,2365949.173727145,34543.77056238228,51.93666667545994,1011.6752154368423,34580.403,34982.297674117486,34178.50832588251,2.324407116467022,0.40079117100133144,0.0,0.0,34529.013333333336,34852.99933333333,34205.02733333333,1.8766015516999084,0.4562429652310148,0.0,0.0,34029.22,35070.21,34549.715,3.010346640552448,0.45287658863197844,362.68153166536024,1.191965334706588,35.69928565871669,,,34556.41333333334,34508.927307692305,34482.80193632848,34447.10265066976,0.7786400754553203,0.8360883103810638,-0.05744823492574347,,,61.567000000002736,73.19446272370055,100.14949033472817,-26.955027611027617,34527.395000000004,34425.44,34476.4175,34425.44,,0.0,20.175837987461545,16.43533325350488,-57.43789148382868,30200.624468344155,30255.179888623712,28.000000000000004,4.0,24.000000000000004,,34970.19251026083,0.0,0.0,51.61093864781186,,,,,,45.28765886319785,37.32088364601666,-54.71234113680215,,0.16685446382870217,0.10363508948995043,,,4.716376141127603,,,34596.25788150181,0.10727232052052393,0.10721482488094125,1.4520003011155636
